timestamp_ms,accel_x_mean,accel_x_std,accel_y_mean,accel_y_std,accel_z_mean,accel_z_std,gyro_x_mean,gyro_y_mean,gyro_z_mean,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,yaw_speed,foot_force_0,foot_force_1,foot_force_2,foot_force_3,body_height,mode,gait_type,error_code,power_v_mean,power_a_mean
1400,-0.024102,0.071687,-0.186548,0.046490,9.577724,0.029534,-0.008629,-0.006285,0.001633,-0.053292,-0.137063,0.316808,-0.012972,-0.010293,-0.022493,-0.016422,-0.018179,-0.709042,-0.011718,0.000000,0.000000,0.000000,0.000000,0.322439,0.000000,0.000000,100.000000,30.119440,-1.985000
1420,-0.020670,0.068826,-0.183994,0.042820,9.579642,0.037336,-0.009090,-0.004581,0.003870,-0.053305,-0.137086,0.316819,-0.009587,-0.004254,-0.021863,-0.016385,-0.018161,-0.709089,0.014914,0.000000,0.000000,0.000000,0.000000,0.322442,0.000000,0.000000,100.000000,30.119440,-1.985000
1440,-0.010465,0.072258,-0.180453,0.043212,9.567694,0.038142,-0.008419,-0.004605,0.006426,-0.053281,-0.137081,0.316808,0.004755,-0.005265,-0.023007,-0.016345,-0.018144,-0.708865,0.019175,0.000000,0.000000,0.000000,0.000000,0.322439,0.000000,0.000000,100.000000,30.119440,-1.985000
1460,-0.015485,0.068072,-0.180453,0.043897,9.572985,0.042231,-0.007491,-0.005739,0.005326,-0.053291,-0.137054,0.316817,-0.000233,-0.005503,-0.022458,-0.016288,-0.018226,-0.708804,-0.004261,0.000000,0.000000,0.000000,0.000000,0.322443,0.000000,0.000000,100.000000,30.119440,-1.985000
1480,-0.028691,0.069963,-0.173500,0.037322,9.575809,0.044568,-0.008274,-0.006924,0.003586,-0.053303,-0.137085,0.316815,-0.000765,-0.008224,-0.022716,-0.016334,-0.018203,-0.709047,-0.006392,0.000000,0.000000,0.000000,0.000000,0.322442,0.000000,0.000000,100.000000,30.119440,-1.985000
1500,-0.024907,0.062288,-0.173271,0.038532,9.575031,0.045174,-0.007697,-0.005155,0.002577,-0.053363,-0.137135,0.316828,0.002833,-0.003393,-0.022043,-0.016255,-0.018222,-0.709344,-0.008522,0.000000,0.000000,0.000000,0.000000,0.322436,0.000000,0.000000,100.000000,30.119440,-1.985000
1520,-0.012782,0.057751,-0.173850,0.040222,9.571903,0.047104,-0.007869,-0.006598,0.004742,-0.053367,-0.137106,0.316846,-0.001243,0.000381,-0.021432,-0.016315,-0.018270,-0.709217,0.017044,0.000000,0.000000,0.000000,0.000000,0.322440,0.000000,0.000000,100.000000,30.119440,-1.985000
1540,-0.007821,0.063188,-0.180523,0.040000,9.580916,0.046617,-0.007989,-0.006001,0.004439,-0.053327,-0.137065,0.316861,-0.001424,-0.010675,-0.021573,-0.016297,-0.018262,-0.708889,0.013848,0.000000,0.000000,0.000000,0.000000,0.322445,0.000000,0.000000,100.000000,30.128294,-1.985000
1560,-0.019473,0.054704,-0.188264,0.036248,9.569185,0.049958,-0.008061,-0.004723,0.003515,-0.053315,-0.137070,0.316853,-0.006229,0.004456,-0.022118,-0.016271,-0.018234,-0.708909,-0.008522,0.000000,0.000000,0.000000,0.000000,0.322437,0.000000,0.000000,100.000000,30.119440,-1.994000
1580,-0.026695,0.058892,-0.186668,0.039670,9.574693,0.049260,-0.008806,-0.004758,0.002344,-0.053360,-0.137121,0.316836,-0.015470,-0.003402,-0.021767,-0.016234,-0.018194,-0.709275,-0.025566,0.000000,0.000000,0.000000,0.000000,0.322436,0.000000,0.000000,100.000000,30.119440,-1.994000
1600,-0.025950,0.057305,-0.175819,0.039519,9.579238,0.050709,-0.009003,-0.005910,0.002405,-0.053392,-0.137143,0.316835,-0.004527,-0.005853,-0.021924,-0.016260,-0.018246,-0.709429,-0.001065,0.000000,0.000000,0.000000,0.000000,0.322438,0.000000,0.000000,100.000000,30.119440,-1.994000
1620,-0.013786,0.064337,-0.173811,0.039424,9.569468,0.044238,-0.008316,-0.006082,0.004777,-0.053395,-0.137114,0.316843,-0.004745,-0.000390,-0.022113,-0.016246,-0.018323,-0.709222,0.011718,0.000000,0.000000,0.000000,0.000000,0.322442,0.000000,0.000000,100.000000,30.119440,-1.994000
1640,-0.024156,0.058572,-0.179993,0.037596,9.566331,0.045467,-0.007685,-0.005479,0.001598,-0.053387,-0.137065,0.316844,-0.018099,-0.007485,-0.022171,-0.016236,-0.018381,-0.709063,0.005326,0.000000,0.000000,0.000000,0.000000,0.322437,0.000000,0.000000,100.000000,30.119440,-1.994000
